index,filename,title,full_year,start_year,mid_year,end_year,circa,continent,country,artstor_url,image_url,artstor_artist,first_artist,second_artist,notes,attributed_to,attributed_to_2,attributed_to_3,copy_of,in_style_of,workshop_of,circle_of
2808,0003552.jpeg,Self-portrait,1695,,1695,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/SCALA_ARCHIVES_1039614852;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/scala/archives/scala_0098498g_post.jpg,Godfried Schalcken,Godfried Schalcken,,,,,,,,,
2809,0003553.jpeg,Portrait of a Young Woman,17th century,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ASMITHIG_10314010024;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/smith/art/smith_college_l03_1964_2_as_8b_srgb.jpg,"Verspronck, Johannes Cornelisz, 1606/09 - 1662",Johannes Cornelisz Verspronck,,,,,,,,,
2810,0003554.jpeg,Portrait of a Man,17th century,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARINGLINGARTIG_10313021113;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/aringling/art/ringling_museum_sn263_ct_as_8b_srgb.jpg,Gerard Borch II,Gerard Borch II,,,,,,,,,
2811,0003555.jpeg,Portrait of a Gentleman,1699,,1699,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310498441;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w7227_post_8b.jpg,"Musscher, Michiel van (Dutch, 1645-1705)",Michiel van Musscher,,,,,,,,,
2812,0003556.jpeg,Portrait of a Young Man,17th C,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000991032;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3968/41822000991032.jpg,"Lievens, Jan, 1607-1674 attributed",Unsure,,,Jan Lievens,,,,,,
2813,0003557.jpeg,Self-Portrait,17th C,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000991024;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3968/41822000991024.jpg,"Lievens, Jan, 1607-1674",Jan Lievens,,,,,,,,,
2814,0003558.jpeg,Portrait of the Physician Paracelsus,17th century,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/LESSING_ART_10310751000;prevRouteTS=1568655987404,https://mdxdv.artstor.org/thumb/imgstor/size1/lessing/art/lessing_26010222_8b_srgb.jpg,After Quinten Metsys,Unsure,,,,,,Quinten Metsys,,,
2815,0003559.jpeg,Portrait of a Gentleman.,17th century.,1600,1650,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/NGA_REALI_1039654751;prevRouteTS=1568655987404,https://mdxdv.artstor.org/thumb/imgstor/size1/nga/reali/reali_800384_post_as.jpg,"Miereveld, Michiel van 1567-1641. Follower.",Unsure,,,,,,,,,Michiel van Miereveld
2816,0003560.jpeg,Portrait of Michiel ten Hove (1640-1689),after 1689?,1689,1689,1734,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AWSS35953_35953_30941559;prevRouteTS=1568655987404,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/c35953/10620550.jpg,"Netscher, Caspar (studio of)",Unsure,,,,,,,Caspar Netscher,,
2817,0003562.jpeg,Portrait of a Young Woman,1632-1699,1632,1665.5,1699,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ACOURTAULDIG_10313599224;prevRouteTS=1568655987404,https://mdxdv.artstor.org/thumb/imgstor/size1/acourtauld/d0001/courtauld_p.1972.xx.337_as_8b_srgb.jpg,Rembrandt van Rijn (1606-1669),Rembrandt Harmenszoon van Rijn,,,,,,,,,
